"indicador","valor"
"Método","Truncated SVD para LSA"
"Dimensión original","507 x 9160"
"Documentos","507"
"Términos originales","9160"
"Máximo de componentes evaluados","200"
"Dimensión provisional","200"
"Información conservada provisional","56.18%"
"Tiempo de ajuste en segundos","59.07"
"Tipo de matriz original","dgCMatrix"
