"indicador","valor"
"Total de artículos",507
"Total de columnas",14
"Artículos sin título",0
"Artículos sin resumen",0
"Artículos sin título ni resumen",0
"DOI no vacíos",507
"DOI únicos",507
"DOI duplicados",0
