"indicador","valor"
"Artículos originales","507"
"Artículos incluidos","507"
"Artículos excluidos","0"
"Documentos vacíos","0"
"Campos textuales utilizados","Título y resumen"
"Palabras clave disponibles","No disponibles en SQLite"
"Etiquetas residuales","0"
"Idioma esperado del corpus","Principalmente inglés; pendiente de validación automática"
