"componente","valor_singular","energia","proporcion_individual","proporcion_acumulada","porcentaje_acumulado"
1,13.7322637882958,188.57506875134,0.0279515596431661,0.0279515596431661,2.79515596431661
2,6.99387405818569,48.9142743417628,0.00725032352218753,0.0352018831653536,3.52018831653536
3,6.61341830702694,43.7373017037191,0.00648296620172366,0.0416848493670772,4.16848493670772
4,6.15399176950113,37.8716146990876,0.00561352412094523,0.0472983734880225,4.72983734880225
5,5.8653663880834,34.4025228664585,0.00509931761470121,0.0523976911027237,5.23976911027237
6,5.72951643397878,32.8273585672329,0.00486583871874149,0.0572635298214652,5.72635298214652
7,5.64420896366252,31.8570948254883,0.00472202127231787,0.0619855510937831,6.19855510937831
8,5.50510764250946,30.306210155616,0.0044921412270041,0.0664776923207872,6.64776923207872
9,5.42117990104865,29.3891915195338,0.00435621604203627,0.0708339083628234,7.08339083628234
10,5.36126460723969,28.743158188841,0.00426045768281146,0.0750943660456349,7.50943660456349
11,5.28122151050977,27.8913006430711,0.00413419100739285,0.0792285570530277,7.92285570530277
12,5.24005512389834,27.4581777014933,0.00406999131326308,0.0832985483662908,8.32985483662908
13,5.13106989592833,26.3278782769019,0.00390245256071058,0.0872010009270014,8.72010009270014
14,5.10877266107586,26.0995581025561,0.00386860977855903,0.0910696107055604,9.10696107055604
15,5.05178270332035,25.5205084815667,0.00378278008683673,0.0948523907923972,9.48523907923972
16,5.03391478428289,25.3402980554219,0.0037560683772345,0.0986084591696317,9.86084591696316
17,5.00933346802053,25.0934217938306,0.00371947511707533,0.102327934286707,10.2327934286707
18,4.96452706206761,24.6465289500016,0.00365323437771831,0.105981168664425,10.5981168664425
19,4.94040244637428,24.407576332141,0.00361781560049475,0.10959898426492,10.959898426492
20,4.91459670970251,24.1532608190187,0.00358011965648534,0.113179103921405,11.3179103921405
21,4.86902389110794,23.7073936521799,0.0035140309482094,0.116693134869615,11.6693134869615
22,4.84821845121864,23.5052221507369,0.0034840640558829,0.120177198925498,12.0177198925498
23,4.82337831073766,23.2649783284945,0.00344845388975238,0.12362565281525,12.362565281525
24,4.79165011574485,22.9599108317176,0.00340323522756223,0.127028888042812,12.7028888042812
25,4.77648912578707,22.8148483687621,0.00338173332854591,0.130410621371358,13.0410621371358
26,4.76255225535256,22.6819039849637,0.00336202763310287,0.133772649004461,13.3772649004461
27,4.73801172434238,22.4487551000059,0.00332746911480674,0.137100118119268,13.7100118119268
28,4.71836876219536,22.2630037760609,0.00329993610503815,0.140400054224306,14.0400054224306
29,4.68843065830448,21.9813820377294,0.00325819269288982,0.143658246917196,14.3658246917196
30,4.68015672841101,21.9038670024908,0.0032467030185386,0.146904949935734,14.6904949935734
31,4.66633902887993,21.7747199324481,0.00322756018033129,0.150132510116066,15.0132510116066
32,4.65437964851038,21.6632499124677,0.00321103752475153,0.153343547640817,15.3343547640817
33,4.63200144238741,21.455437362279,0.00318023448737411,0.156523782128191,15.6523782128191
34,4.62577833898554,21.3978252414278,0.00317169492462701,0.159695477052818,15.9695477052818
35,4.61560097143366,21.3037723274993,0.00315775392144619,0.162853230974265,16.2853230974265
36,4.60326239165291,21.1900246464061,0.00314089365930548,0.16599412463357,16.599412463357
37,4.58561987552715,21.0279096428296,0.00311686414564005,0.16911098877921,16.911098877921
38,4.57303357878308,20.9126361126776,0.00309977771436014,0.17221076649357,17.221076649357
39,4.56200124871747,20.8118553932998,0.0030848394815003,0.17529560597507,17.529560597507
40,4.55864588175288,20.7812522752225,0.00308030333106499,0.178375909306135,17.8375909306135
41,4.53152044901813,20.5346775798694,0.00304375477059359,0.181419664076729,18.1419664076729
42,4.52055786035884,20.435443368852,0.00302904576910012,0.184448709845829,18.4448709845829
43,4.51758324227612,20.408558350894,0.00302506073445086,0.18747377058028,18.747377058028
44,4.49018327644313,20.1617458560496,0.00298847692612453,0.190462247506405,19.0462247506405
45,4.48873799739357,20.1487688092448,0.00298655340198023,0.193448800908385,19.3448800908385
46,4.48301460142008,20.0974199165456,0.0029789422068928,0.196427743115278,19.6427743115278
47,4.46791124624803,19.9622309043496,0.00295890380116654,0.199386646916444,19.9386646916444
48,4.45826562653386,19.8761323967334,0.00294614184070826,0.202332788757152,20.2332788757152
49,4.4520803030288,19.821019024617,0.00293797265525841,0.205270761412411,20.5270761412411
50,4.44800356720885,19.7847357339026,0.00293259456062921,0.20820335597304,20.820335597304
51,4.44291819731136,19.7395221080004,0.00292589276611598,0.211129248739156,21.1129248739156
52,4.43410632327819,19.6612988861356,0.00291429812072668,0.214043546859883,21.4043546859883
53,4.42603561414453,19.5897912576757,0.00290369889488482,0.216947245754767,21.6947245754767
54,4.41175982583884,19.4636247608856,0.00288499785246522,0.219832243607233,21.9832243607233
55,4.40680796009492,19.4199563971559,0.00287852510460204,0.222710768711835,22.2710768711835
56,4.39709888635139,19.3344786163526,0.0028658551514417,0.225576623863276,22.5576623863276
57,4.38280983778752,19.209022074207,0.00284725934212487,0.228423883205401,22.8423883205401
58,4.37395328477217,19.1314673373693,0.00283576378299987,0.231259646988401,23.1259646988401
59,4.36903218741747,19.0884422546899,0.00282938638553886,0.23408903337394,23.408903337394
60,4.35195955814832,18.9395519957585,0.00280731711105648,0.236896350484997,23.6896350484997
61,4.34480158102144,18.8773007784464,0.00279808991774253,0.239694440402739,23.9694440402739
62,4.34025887519335,18.8378471036946,0.00279224189260184,0.242486682295341,24.2486682295341
63,4.33156750139742,18.7624770191623,0.00278107015379742,0.245267752449138,24.5267752449138
64,4.32623797575392,18.7163350228554,0.00277423075148211,0.24804198320062,24.804198320062
65,4.31634145837019,18.6308035852453,0.00276155284503586,0.250803536045656,25.0803536045656
66,4.31039817689487,18.5795324433786,0.00275395317457386,0.25355748922023,25.355748922023
67,4.30024476083074,18.4921050030523,0.00274099423292312,0.256298483453153,25.6298483453153
68,4.29142886603769,18.4163617122615,0.00272976717558131,0.259028250628735,25.9028250628735
69,4.28759605484478,18.3834799295205,0.00272489326983362,0.261753143898568,26.1753143898568
70,4.28041811405576,18.3219792311367,0.00271577732226773,0.264468921220836,26.4468921220836
71,4.27381380549921,18.2654844440757,0.00270740337644064,0.267176324597277,26.7176324597277
72,4.26423972219389,18.1837404083362,0.0026952868580399,0.269871611455316,26.9871611455316
73,4.25656938692256,18.1183829456863,0.00268559924118005,0.272557210696497,27.2557210696497
74,4.2505674247309,18.0673234321835,0.00267803093935481,0.275235241635851,27.5235241635851
75,4.23846015201957,17.9645444602577,0.00266279651529829,0.27789803815115,27.789803815115
76,4.23669722032672,17.9496033367242,0.00266058186567175,0.280558620016821,28.0558620016821
77,4.23210081702479,17.9106773254619,0.00265481205350797,0.283213432070329,28.3213432070329
78,4.22553838519318,17.855174644741,0.00264658516274876,0.285860017233078,28.5860017233078
79,4.22437609860093,17.8453534224308,0.00264512941102617,0.288505146644104,28.8505146644104
80,4.20885851721245,17.7144900179118,0.00262573216895838,0.291130878813063,29.1130878813063
81,4.20368810747727,17.6709937049459,0.00261928492333797,0.293750163736401,29.3750163736401
82,4.19630216904388,17.6089518939223,0.00261008876929345,0.296360252505694,29.6360252505694
83,4.1929737771378,17.5810290957653,0.00260594990956369,0.298966202415258,29.8966202415258
84,4.17831051765677,17.4582787819612,0.00258775523123092,0.301553957646489,30.1553957646489
85,4.17663254700406,17.4442594326936,0.00258567721169309,0.304139634858182,30.4139634858182
86,4.16951284705365,17.3848373817454,0.00257686937186466,0.306716504230046,30.6716504230046
87,4.16606737255061,17.3561173526308,0.00257261234249133,0.309289116572538,30.9289116572538
88,4.15585731764816,17.2711500446497,0.00256001805421941,0.311849134626757,31.1849134626757
89,4.14936933109972,17.2172658458709,0.0025520310631184,0.314401165689876,31.4401165689876
90,4.14825738656998,17.2080393452324,0.00255066346407891,0.316951829153954,31.6951829153954
91,4.14021679717835,17.1413951276377,0.00254078511783036,0.319492614271785,31.9492614271785
92,4.13698268437406,17.1146257308108,0.00253681722113556,0.32202943149292,32.202943149292
93,4.12902932598241,17.0488831748227,0.00252707252377466,0.324556504016695,32.4556504016695
94,4.11823186527116,16.9598336961348,0.00251387315531508,0.32707037717201,32.707037717201
95,4.11418476062654,16.9265162445716,0.00250893467250984,0.32957931184452,32.957931184452
96,4.11147383050775,16.9042170589501,0.0025056293733469,0.332084941217867,33.2084941217867
97,4.10543115891873,16.8545650006208,0.00249826969171461,0.334583210909581,33.4583210909582
98,4.09879796295038,16.8001447410862,0.00249020324295099,0.337073414152532,33.7073414152532
99,4.09597857485362,16.7770404856599,0.00248677861223053,0.339560192764763,33.9560192764763
100,4.08667828682866,16.7009394200368,0.0024754985236761,0.342035691288439,34.2035691288439
101,4.08197613381653,16.6625291570477,0.00246980515835502,0.344505496446794,34.4505496446794
102,4.07360136385737,16.5942280716206,0.00245968122269561,0.34696517766949,34.696517766949
103,4.07215370201288,16.5824357728172,0.00245793330794995,0.34942311097744,34.942311097744
104,4.06714030047798,16.5416302237721,0.00245188490109819,0.351874995878538,35.1874995878538
105,4.06151342796383,16.4958913255305,0.00244510524803653,0.354320101126574,35.4320101126574
106,4.05743524776598,16.4627807898138,0.00244019743535466,0.356760298561929,35.6760298561929
107,4.05180839899632,16.4171513021771,0.00243343399969157,0.359193732561621,35.9193732561621
108,4.04528007601968,16.3642908934418,0.00242559875997874,0.361619331321599,36.1619331321599
109,4.04143657909385,16.3332096228378,0.00242099173533426,0.364040323056934,36.4040323056934
110,4.03642414408554,16.2927198709567,0.00241499013755076,0.366455313194484,36.6455313194484
111,4.02795735939353,16.2244404890925,0.00240486941890427,0.368860182613389,36.8860182613389
112,4.02415284308992,16.1938061045487,0.00240032863399363,0.371260511247382,37.1260511247382
113,4.01784761794303,16.1430994810104,0.00239281263932097,0.373653323886703,37.3653323886703
114,4.00860726251193,16.0689321850634,0.00238181918398266,0.376035143070686,37.6035143070686
115,4.00558920092812,16.044744846592,0.00237823401316252,0.378413377083848,37.8413377083848
116,4.00328790507559,16.0263140509245,0.00237550210651239,0.380788879190361,38.0788879190361
117,3.99546713547165,15.9637576306341,0.00236622967445448,0.383155108864815,38.3155108864815
118,3.99308607625121,15.9447364123513,0.00236341025234934,0.385518519117165,38.5518519117165
