"indicador","valor"
"Número de ejecuciones",20
"Tiempo mínimo en segundos",0.0299999999988358
"Tiempo promedio en segundos",0.0614999999994325
"Mediana en segundos",0.0599999999994907
"Tiempo máximo en segundos",0.0800000000017462
