"componentes","porcentaje_informacion","celdas_representacion","memoria_estimada_mb","reduccion_columnas_porcentaje","ganancia_informacion","componentes_agregados","ganancia_por_componente"
25,13.0410621371358,12675,0.0967,99.73,13.0410621371358,25,0.521642485485433
50,20.820335597304,25350,0.1934,99.45,7.77927346016818,25,0.311170938406727
75,27.789803815115,38025,0.2901,99.18,6.96946821781096,25,0.278778728712438
100,34.2035691288439,50700,0.3868,98.91,6.41376531372895,25,0.256550612549158
125,40.1908198023284,63375,0.4835,98.64,5.98725067348445,25,0.239490026939378
150,45.8183493210409,76050,0.5802,98.36,5.62752951871254,25,0.225101180748501
175,51.1387631326715,88725,0.6769,98.09,5.32041381163063,25,0.212816552465225
200,56.1759253472587,101400,0.7736,97.82,5.03716221458714,25,0.201486488583486
