feature_original,importancia_media_pr_auc,importancia_sd
n_cetipo_internacao,0.16566266153375753,0.00415759385113775
edad_referencia,0.10420076899660147,0.016538825414567294
cetipo_moda,0.08930069768363617,0.005491242511350884
sexo_moda,0.04107846772901678,0.020246052161738515
paso_internado_no_cardio,0.016655063587165213,0.0035222513878217657
tipo_beneficiario_moda,0.016440834800907227,0.004976351561232413
tasa_internado_no_cardio,0.012450656313317788,0.0033950326597954584
n_especialidades_no_cardio,0.010565180969119532,0.004497861982124381
estado_moda,0.01022187983190836,0.013488037627890937
tipo_unidad_moda,0.009275580226049119,0.00440776001676487
costo_sd_no_cardio,0.009163792387852743,0.010619829087616273
n_internado_no_cardio,0.006054661724038885,0.0027464005347171377
especialidad_moda,0.005260934557245661,0.0050004911402687134
n_procedimientos_distintos_no_cardio,0.0046824867463559575,0.02488537272528475
n_estados_no_cardio,0.002600136247298113,0.0021385230442097594
costo_promedio_no_cardio,0.0025459912316711797,0.01512916898139032
n_unidades_no_cardio,0.0010669584956152223,0.00729904437295147
tipo_beneficiario_n_distintos,0.00024770066478725926,0.00018721838044434514
n_cetipo_consulta,1.816071954834908e-05,0.002931807535589401
fecha_nacimiento_n_distintas,0.0,0.0
sexo_n_distintos,0.0,0.0
n_cetipo_pronto_socorro,-0.0023283656757377815,0.011255400829068068
n_uti_no_cardio,-0.0025461844400268886,1.3372097572935652e-05
tasa_uti_no_cardio,-0.002932814455901356,2.7895344892049527e-05
n_cetipo_terapia,-0.0030782920455950545,0.01622579026358574
paso_uti_no_cardio,-0.003224825232331924,3.679599663414009e-05
n_cetipo_outros,-0.003582481946068805,0.0011800257543992188
costo_min_no_cardio,-0.004180978071681723,0.01285654721872354
n_registros_no_cardio,-0.006683383095705031,0.02178463687766952
n_cetipo_exame,-0.011819330120930355,0.011925320711095885
costo_total_no_cardio,-0.01428016075835949,0.012298005866037522
costo_max_no_cardio,-0.02207508037699086,0.013238565313863146
n_cetipos_no_cardio,-0.024975439440438785,0.019558735711453983
n_utilizaciones_no_cardio,-0.03584625067686098,0.016666134907894793
