modelo,threshold,f1_oof_train
Regresion logistica,0.9677222583161622,0.3693181818181819
Arbol de decision,0.9707546526688937,0.5993265993265994
Random Forest,0.4732203467123023,0.6014319809069212
Gradient Boosting,0.9240376232337046,0.6357615894039735
