especialidad_moda,cardio_isquemica,n_beneficiarios
CONSULTA EM OTORRINOLARINGOLOG,0,40
ANATOMIA PATOLOGICA,0,38
MUSICOTERAPEUTA,0,38
GINECOLOGIA/OBSTETRICIA,0,36
CONSULTA EM PEDIATRIA,0,36
CIRURGIA PEDIÁTRICA,0,35
DIFERENCIADOS,0,35
CIRURGIA PEDIATRICA,0,33
MEDICINA DE EMERGENCIA,0,33
CIRURGIA ONCOLÓGICA,0,31
ULTRASONOGRAFIA,0,31
MEDICINA INTENSIVA,0,31
ORTOPEDIA INFANTIL,0,30
CANCEROLOGIA CIRURGICA,0,29
MEDICO EM MEDICINA DE TRAFEGO,0,28
GENERALISTA,0,27
NEUROLOGIA PEDIATRICA,0,27
CIRURGIAO DENTISTA - TRAUMATOLOGISTA BUCOMAXILOFAC,0,26
CONSULTA EM CARDIOLOGIA,0,26
HEMOTERAPIA,0,26
FONOTERAPIA,0,26
UTI-NEONATAL,0,25
TRAUMATO-ORTOPEDIA,0,24
CONSULTA EM OFTALMOLOGIA,0,24
HEPATOLOGIA,0,23
RESSONÂNCIA MAGNÉTICA,0,23
CIRURGIA DA MÃO,0,23
CIRURGIA CARDIOVASCULAR,0,22
URODINÂMICA,0,21
CBO DO PRESTADOR SOLICITANTE DESCONHECIDO OU NAO I,0,21
CANCEROLOGIA,0,20
CIRURGIA DE CABECA E PESCOCO,0,20
MEDICO FISIATRA,0,20
RADIOTERAPIA,0,19
MEDICO EM MEDICINA INTENSIVA,0,18
CONSULTA EM CIRURGIA PLÁSTICA,0,17
MEDICO CLINICO,1,16
PSICOLOGIA - AVALIAÇÃO,0,16
PSICOTERAPIA,0,16
ELETROCARDIOGRAFIA,0,16
BUCO MAXILAR,0,15
ALERGOLOGIA,0,15
LARINGOSCOPIA,0,15
CIRURGIA GASTROENTEROLOGICA,0,14
CIRURGIA DA MAO,0,14
CIRURGIA CRÂNIO-MAXILO-FACIAL,0,14
PRONTO-SOCORRO ADULTO,0,13
AN. CLIN-AN PAT-COLPOCITOLOGIA,0,13
OUTROS,0,13
NEUROCIRURGIA PEDIÁTRICA,0,12
NEUROPEDIATRIA,0,12
MEDICINA DE FAMILIA E COMUNIDADE,0,11
ELETRONEUROMIOGRAFIA/ELETROMIO,0,11
GENÉTICA MÉDICA,0,11
GENETICISTA,0,11
CIRURGIAO DENTISTA - CLINICO GERAL,0,11
FARMACEUTICO ANALISTA CLINICO,0,10
ESPIROMETRIA / PROVA DE FUNÇÃO,0,10
HEMODINAMICA,0,10
MEDICO ANATOMOPATOLOGISTA,0,9
HOME CARE,0,8
ENFERMAGEM NASCER BEM,0,8
RADIOLOGIA INTERVENCIONISTA,0,8
PSICO - PEDAGOGIA,0,8
CIRURGIA VASCULAR PERIFERICA,0,8
MEDICINA PREVENTIVA E SOCIAL,0,8
MEDICO CIRURGIAO TORACICO,0,8
OBSTETRICIA / PRE NATAL,0,8
MEDICINA DE FAMILIA/COMUNIDADE,0,7
ANGIOLOGIA/CIRUR VASCULAR,0,7
UNIMEDS,0,7
MEDICO CANCEROLOGISTA PEDIATRICO,0,7
CARDIOLOGIA,1,7
ANALISES CLINICAS DIVERSAS,0,7
TISIOPNEUMOLOGIA,0,7
CIRURGIA PLASTICA RESTAURADORA,0,7
ORTOPEDIA,0,6
PSICOPEDAGOGO,0,6
MEDICO NEUROFISIOLOGISTA,0,6
DENSITOMETRIA OSSEA,0,6
MEDICO,0,6
MEDICO RADIOTERAPEUTA,0,6
ELETROENCEFALO-ELETROCARDIO-RA,0,6
MEDICINA DOMICILIAR,0,6
TERAPIA OCUPACIONAL-SESSAO,0,5
FONOAUDIOLOGIA - AVALIAÇÃO,0,5
FISIOTERAPIA POS OPERATORIA,0,5
PSICOMOTRICIDADE - TERAPIAS PA,0,5
ONCOLOGIA CLINICA/QUIMIOTERAPIA,0,5
BIOMEDICO,0,5
PSICOLOGIA TEA,0,5
CLINICAS E HOSPITAIS,0,5
RAIO-X,0,5
CIRURGIA DA CABECA E PESCOCO,0,5
CIRURGIA TORACICA,0,5
CIRURGIA GINECOLOGICA,0,4
CATETERISMO CARDIACO,0,4
QUIMIOTERAPIA,0,4
CIRURGIA TORÁCICA,0,4
GASTRO PEDIATRA,0,4
ANÁLISES CLÍNICAS DIVERSAS,1,4
"ANGIORRADIOLOGIA, CIRUGIA ENDOVASCULAR",0,4
AN. CLIN-MED. NUCLEAR-RADIOIMU,0,4
INATIVO ORTOPEDIA MEDICO DA FAMILIA,0,4
MED. FÍSICA E REABILITAÇÃO,0,4
ECOCARDIOGRAFIA,0,4
ENFERMEIRO,0,4
GERIATRIA E GERONTOLOGIA,0,4
MEDICO CARDIOLOGISTA,1,3
GERIATRIA/GERONTOLOGIA,0,3
TECNICO DE ENFERMAGEM,0,3
FONOAUDIOLOGIA TEA,0,3
ANATOMIA PATOLOGICA / CITOPATOLOGIA,0,3
CONSULTA EM NEUROLOGIA,0,3
PNEUMOLOGIA PEDIÁTRICA,0,3
PESQUISADOR EM BIOLOGIA DE MICROORGANISMOS E PARAS,0,3
MEDICOS NAO COOPERADOS,0,3
CARDIOLOGIA PEDIATRICA,0,3
PNEUMOLOGIA PEDIATRICA,0,3
FORNECEDOR,0,2
ANDROLOGIA,0,2
TRIAGEM INFANTIL NEUROPSICOLOGIA,0,2
GASTROENTEROLOGIA PEDIATRICA,0,2
ANESTESIOLOGISTA,0,2
ENFERMEIRO PUERICULTOR E PEDIATRICO,0,2
ECOGRAFIA VASCULAR COM DOPLLER,0,2
ENFERMAGEM,0,2
MEDICINA LEGAL,0,2
MEDICINA FISICA E REABILITACAO-FISIATRIA,0,2
MEDICINA HIPERBÁRICA,0,2
PSICOPEDAGOGIA - TERAPIAS PARA,0,2
CIRURGIA TORAXICA,0,2
RADIOIMUNOENSAIO,0,2
PROFISSIONAL DE EDUCACAO FISICA NA SAUDE,0,2
FISIOTERAPIA - AVALIAÇÃO,0,2
FISIATRIA,0,2
CIRURGIA ONCOLOGICA,0,2
PRONTO ATENDIMENTO GERAL,1,2
MEDICO GENETICISTA,0,2
DOR NAS COSTAS - LOMBALGIA,0,2
COLOPROCTOLOGIA,0,2
CONSULTA EM GENÉTICA MÉDICA,0,2
MEDICO HEMOTERAPEUTA,0,2
HEBEATRIA,0,1
GENERALISTA QUE ATENDE DOENÇA DA MULHER,0,1
GENETICA MEDICA,0,1
TESTE ALERGICO,0,1
TERAPIA OCUPACIONAL TEA,0,1
AN. CLIN-AN. PAT-LIQUOR,0,1
AN. CLIN-AN PAT-RADIOIMUNOENSA,0,1
HOSPITAIS,1,1
MEDICINA DO TRABALHO,0,1
MEDICINA ESPORTIVA,0,1
GENERALISTA QUE ATENDE DOENÇA DA CRIANÇA,0,1
HEMATOLOGIA,1,1
MEDICINA FISICA E REABILITACAO,0,1
TERAPIA NUTRICIONAL TEA,0,1
TERAPIA OCUPACIONAL - AVALIAÇÃO,0,1
RESSONANCIA MAGNETICA,0,1
FISIOT PELVICA BIOFEEDBACK,0,1
EXAMES EM CARDIOLOGIA,0,1
FISIOT PEDIATRICA,0,1
DERMATOLOGIA PEDIATRICA,0,1
ODONTOLOGIA CLINICA,0,1
NEUROPSICOLOGIA - AVALIAÇÃO,0,1
NUTRICAO CIRURG BARIATRICA,0,1
CIRURGIA CRANIO-MAXILO-FACIAL,0,1
NEUROLOGIA PEDIÁTRICA,0,1
CIRURGIAO DENTISTA - ORTOPEDISTA E ORTODONTISTA,0,1
MEDICO VIVER BEM,0,1
MEDICO PNEUMOLOGISTA,1,1
CITOPATOLOGIA,0,1
CIRURGIAO DENTISTA - ODONTOPEDIATRA,0,1
MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA,0,1
MEDICO CIRURGIAO PLASTICO,1,1
MEDICO ENDOCRINOLOGISTA E METABOLOGISTA,1,1
MEDICO GENERALISTA,1,1
MEDICO GINECOLOGISTA E OBSTETRA,1,1
MEDICO EM CIRURGIA VASCULAR,1,1
CLINICO GERAL,1,1
MEDICO CITOPATOLOGISTA,0,1
DOR DE CABECA CEFALEIA,0,1
MUSICOTERAPIA - TERAPIAS PARA,0,1
PEDIATRIA,1,1
CIRURGIA DA MAMA,0,1
PRIMEIRO ASSISTENTE,0,1
PSICOMOTRICISTA,0,1
CIRURGIA CARDIO VASCULAR,0,1
CIRURGIA BARIATRICA,0,1
CARDIOVASCULAR,0,1
AUXILIAR DE ENFERMAGEM,0,1
RADIOLOGIA E DIAGNOSTICO POR IMAGEM,0,1
PSICOPEDAGOGIA CONVENCIONAL,0,1
PSICOTERAPIA LINHAS DE CUIDADO,0,1
