modelo,split,threshold,pr_auc,roc_auc,f1,precision,recall_sensibilidad,especificidad,positivos_predichos
Gradient Boosting,cv_oof_train_subsample,0.9240376232337046,0.6118858643501539,0.923938265370534,0.6357615894039735,0.7741935483870968,0.5393258426966292,0.9968539325842697,124
Random Forest,cv_oof_train_subsample,0.4732203467123023,0.5299765178512386,0.9635342759752556,0.6014319809069213,0.5228215767634855,0.7078651685393258,0.9870786516853932,241
Arbol de decision,cv_oof_train_subsample,0.9707546526688937,0.5130853769746423,0.8827966797121576,0.5993265993265994,0.7478991596638656,0.5,0.996629213483146,119
Regresion logistica,cv_oof_train_subsample,0.9677222583161622,0.27092688795661424,0.9238227496528216,0.3693181818181818,0.3735632183908046,0.3651685393258427,0.987752808988764,174
