grupo_error,n,promedio_edad,promedio_tuvo_internacion,promedio_tuvo_uti,promedio_costo_total,promedio_numero_utilizaciones,sexo_mas_frecuente,tipo_beneficiario_mas_frecuente
falso_negativo,7,48.67142857142857,0.0,0.0,2954.0600000000004,5.428571428571429,M,TITULAR
falso_positivo,4309,48.21601123595505,0.5611510791366906,0.09050823857043397,15762.832580645161,9.455790206544442,F,TITULAR
verdadero_negativo,126291,38.02703438395415,0.006223721405325795,0.0005780301050747876,1031.234922441029,3.2206808086086895,F,TITULAR
verdadero_positivo,120,45.1327731092437,0.3333333333333333,0.016666666666666666,13573.29775,8.416666666666666,M,TITULAR
