variable,n_faltantes,porcentaje
CID,7824292,83.72455051631422
PORTE_ANESTESICO,4202557,44.969844663797055
DESC_ESPECIALIDADE,252814,2.705259276396058
DT_NASCIMENTO_BENEFICIARIO,1940,0.02075914702590977
INTERNADO,0,0.0
DT_UTILIZACAO,0,0.0
TIPO_UNIDADE_PREST_HOSPITALAR,0,0.0
UTI,0,0.0
UF_CNES_PREST_HOSPITALAR,0,0.0
TIPO_BENEFICIARIO,0,0.0
SEXO_BENEFICIARIO,0,0.0
CETIPO,0,0.0
CD_PROCEDIMENTO,0,0.0
DESCRICAO_PROCEDIMENTO,0,0.0
VALOR_UTILIZACAO,0,0.0
CHAVE_FUNCIONAL,0,0.0
