grupo,n_utilizaciones,promedio,mediana,desviacion_estandar,p25,p50,p75,p90,p95,p99,minimo,maximo
M54,1262,5627.857131537243,200.015,20644.336896934245,74.4525,200.015,1318.98,12215.891000000032,38089.75000000001,80813.43070000008,0.0,320827.54
No M54,2249045,440.81576209013156,120.0,3010.8910410052604,64.31,120.0,229.17000000000002,508.79,953.31,6340.0199999999995,-3945.25,695307.54
