termino,estimacion,error_estandar,estadistico,valor_p,factor_multiplicativo
(Intercept),7.21484593140992,0.471981194199138,15.2862995816012,0.0000000000000000000000000000000000494254130398717,1359.46420121653
edad,0.00127803407959566,0.00260483927514327,0.490638363676151,0.624242514067759,1.00127885111318
log_n_procedimientos,-0.185178686972186,0.214435054917377,-0.863565367348806,0.38890418063931,0.830955789611462
log_n_urgencias,0.150820129868739,0.0437310818825813,3.4488085676383,0.000692027624063498,1.16278748853252
log_n_internaciones,0.348789556456653,0.217200136390171,1.605844095006,0.109951605782588,1.4173508866123
log_dias_observacion,0.0464096208452986,0.0490466278879451,0.946234692246914,0.345218217933155,1.04750340231815
prop_internaciones,0.576973427936706,0.517614437504182,1.11467800380287,0.266381763044732,1.78064102866486
prop_examenes,0.862957400620756,0.347169665374963,2.4856935576117,0.013784271784111,2.37015985116327
tuvo_uci,1.33182272315394,0.22661749973644,5.87696327381101,0.000000018185432005237,3.78794146763266
tuvo_anestesia,0.168047986845297,0.239992757286266,0.700221076442101,0.484636851172196,1.18299337740596
tuvo_cirugia,0.200530415488652,0.0989803638346666,2.02596159197405,0.044152525381543,1.22205078094645
tuvo_imagenologia,0.606271564368296,0.155234898582804,3.90551074470478,0.000130157438080635,1.83358224502547
tuvo_procedimiento_biliar,0.692275788217557,0.275197439783013,2.5155604236849,0.0127041380744912,1.99825797441933
sexoM,0.0202033933738983,0.0876000565012195,0.230632195695183,0.817846114504371,1.02040886332308
sexoSIN INFORMACION,0.374089477307847,0.55405919140894,0.675179625405291,0.500373938930093,1.45366721486675
tipo_beneficiarioSIN INFORMACION,-0.314833281927227,0.521770448112495,-0.603394237956819,0.546958606462989,0.72991055340648
tipo_beneficiarioTITULAR,0.00528766603637808,0.0749592247690222,0.0705405645892334,0.943836833877229,1.00530167041505
unidad_predominanteDIAGNOSTICO,-0.401632969507034,0.17090974741018,-2.34997111395363,0.0197901571993749,0.669226327088396
unidad_predominanteHOSPITAL,-0.508274011207922,0.116201753814606,-4.37406488734109,0.0000199813253612216,0.601532922415181
unidad_predominanteOTROS,-0.56469684909718,0.195965280563737,-2.88161682249379,0.00440678610965969,0.568532471768078
unidad_predominanteSIN INFORMACION,-0.251300952467105,0.161383254711628,-1.55716869706308,0.121077229142775,0.777788259036911
unidad_predominanteURGENCIAS,-0.429310633063525,0.252226908059866,-1.70208102048188,0.090358706729685,0.650957688790289
