target_k80,edad_mediana,edad_q1,edad_q3,costo_mediano,costo_q1,costo_q3,procedimientos_mediana
0,38,21,53,329.39,138.69,796.29,5
1,43,35,55,9119.01,6930.5025,14087.8075,66
