analisis,modelo,conjunto,n,positivos,prevalencia,umbral,accuracy,sensibilidad,especificidad,precision,f1,roc_auc,pr_auc,tp,tn,fp,fn
Principal,Regresión logística regularizada,Validación,98043,45,0.000458982283283865,0.9677536133548,0.99817427047316,0.133333333333333,0.998571399416315,0.0410958904109589,0.0628272251308901,0.97895274506736,0.018600282355867,6,97858,140,39
Principal,Regresión logística regularizada,Prueba,98047,47,0.00047936193866207,0.9677536133548,0.998194743337379,0.127659574468085,0.998612244897959,0.0422535211267606,0.0634920634920635,0.984159140251845,0.0269852963278745,6,97864,136,41
Principal,Random Forest,Validación,98043,45,0.000458982283283865,0.607131807081807,0.998918841732709,0.111111111111111,0.999326516867691,0.0704225352112676,0.0862068965517241,0.984135390518174,0.032702340072797,5,97932,66,40
Principal,Random Forest,Prueba,98047,47,0.00047936193866207,0.607131807081807,0.998888288269911,0.148936170212766,0.999295918367347,0.0921052631578947,0.113821138211382,0.986349109856709,0.0359868747570153,7,97931,69,40
Sensibilidad CID observado,Regresión logística regularizada,Validación,2841,45,0.0158394931362196,0.676457438497521,0.969376979936642,0.155555555555556,0.982474964234621,0.125,0.138613861386139,0.722794468288031,0.0471787109893344,7,2747,49,38
Sensibilidad CID observado,Regresión logística regularizada,Prueba,2845,47,0.0165202108963093,0.676457438497521,0.961687170474517,0.106382978723404,0.976054324517512,0.0694444444444445,0.0840336134453781,0.743369123842258,0.0404957403723361,5,2731,67,42
Sensibilidad CID observado,Random Forest,Validación,2841,45,0.0158394931362196,0.0877317460317461,0.969376979936642,0.133333333333333,0.982832618025751,0.111111111111111,0.121212121212121,0.749793355587347,0.0457380708529378,6,2748,48,39
Sensibilidad CID observado,Random Forest,Prueba,2845,47,0.0165202108963093,0.0877317460317461,0.966959578207381,0.0425531914893617,0.982487491065046,0.0392156862745098,0.0408163265306122,0.708952443234529,0.0362650630761676,2,2749,49,45
