analisis,modelo,conjunto,n,positivos,prevalencia,umbral,accuracy,sensibilidad,especificidad,precision,f1,roc_auc,pr_auc,tp,tn,fp,fn
Principal,Random Forest,Validación,98043,45,0.000458982283283865,0.607131807081807,0.998918841732709,0.111111111111111,0.999326516867691,0.0704225352112676,0.0862068965517241,0.984135390518174,0.032702340072797,5,97932,66,40
Sensibilidad CID observado,Regresión logística regularizada,Validación,2841,45,0.0158394931362196,0.676457438497521,0.969376979936642,0.155555555555556,0.982474964234621,0.125,0.138613861386139,0.722794468288031,0.0471787109893344,7,2747,49,38
