termino,estimacion,error_estandar,estadistico,valor_p,factor_multiplicativo
(Intercept),8.19460393951434,0.480208301552981,17.0646861226955,0.000000000000000000000000000000000000000244712928458411,3621.35643166151
edad,0.0000575804020648943,0.00265024424597579,0.0217264511194868,0.982688726209846,1.00005758205985
log_n_procedimientos,-0.385536247625493,0.218172873794305,-1.76711357796469,0.0787978811447017,0.68008584398488
log_n_urgencias,0.121200675907616,0.0444933586634564,2.72401723646819,0.00704445434196903,1.12885142292284
log_n_internaciones,0.584205435143431,0.22098615342075,2.64362914191788,0.00888009504843198,1.79356531535361
log_dias_observacion,0.00378728548321974,0.0499015599868029,0.0758951320203483,0.939581552245929,1.00379446631131
prop_internaciones,-0.0934296975885511,0.526636978227381,-0.177408160556876,0.859374816541731,0.910802046755704
prop_examenes,0.782946620993607,0.353221182134829,2.21659022899354,0.027825147789442,2.18790971718002
tuvo_uci,1.4709571518444,0.230567670890515,6.3797198721016,0.00000000129612907041355,4.35340001238891
tuvo_anestesia,0.201498897806927,0.244176072644178,0.82521966884347,0.410271004819224,1.22323488882105
tuvo_cirugia,0.169338112714011,0.10070569121889,1.68151482467802,0.0942887918922216,1.18452057268991
tuvo_imagenologia,0.535573344876718,0.157940799138589,3.39097527553198,0.000845476605406293,1.70842747964972
tuvo_procedimiento_biliar,0.492022317497399,0.279994408197061,1.75725765619974,0.0804677388905356,1.63562062175689
sexoM,0.102535501496391,0.0891270136721744,1.15044246712378,0.251392498953784,1.10797663604014
sexoSIN INFORMACION,0.445913319385506,0.563717000881284,0.791023365781748,0.429906396667434,1.56191607282084
tipo_beneficiarioSIN INFORMACION,-0.444686021380115,0.530865432284413,-0.837662417510495,0.403261834836492,0.641025512744455
tipo_beneficiarioTITULAR,-0.0593169219717501,0.0762658395174806,-0.777765279278862,0.437664721186441,0.942408052006551
unidad_predominanteDIAGNOSTICO,-0.457668866406881,0.173888876360747,-2.63196172167683,0.00917964108944943,0.63275696860905
unidad_predominanteHOSPITAL,-0.495027221590881,0.118227267362788,-4.18708164904004,0.0000430138446063573,0.609554314032306
unidad_predominanteOTROS,-0.666782747636827,0.199381152680336,-3.34426167505344,0.000992057853031625,0.513357524534278
unidad_predominanteSIN INFORMACION,-0.20824369928201,0.16419632730423,-1.26826039717787,0.206240632621886,0.81200912655651
unidad_predominanteURGENCIAS,-0.432248031086575,0.256623476981764,-1.68436666890493,0.0937357104718143,0.649048372545875
