analisis,modelo,umbral,f1_validacion,precision_validacion,sensibilidad_validacion
Principal,Regresión logística regularizada,0.9677536133548,0.0628272251308901,0.0410958904109589,0.133333333333333
Principal,Random Forest,0.607131807081807,0.0862068965517241,0.0704225352112676,0.111111111111111
Sensibilidad CID observado,Regresión logística regularizada,0.676457438497521,0.138613861386139,0.125,0.155555555555556
Sensibilidad CID observado,Random Forest,0.0877317460317461,0.121212121212121,0.111111111111111,0.133333333333333
