target_k80,unidad_predominante,n
0,ATENCION_ESPECIALIZADA,165465
0,SIN INFORMACION,164906
0,HOSPITAL,147482
0,DIAGNOSTICO,124512
0,URGENCIAS,27993
0,OTROS,21108
0,DOMICILIARIO,1578
0,ATENCION_PRIMARIA,262
0,MOVIL,19
1,HOSPITAL,198
1,DIAGNOSTICO,30
1,ATENCION_ESPECIALIZADA,30
1,SIN INFORMACION,26
1,OTROS,12
1,URGENCIAS,9
1,ATENCION_PRIMARIA,1
