uf,base_%,cohorte_%,lift
SP,47.51029250448648,20.481927710843372,0.43
,25.233197323872336,0.7228915662650602,0.03
MT,8.161332617333022,0.0,0.0
PE,6.602655014832528,45.54216867469879,6.9
RJ,4.688884095154606,30.843373493975907,6.58
PR,3.9812983166343088,1.2048192771084338,0.3
