especialidad_principal,base_%,cohorte_%,lift
,63.207069432141374,50.84337349397591,0.8
MEDICO CLINICO,5.431963906240677,2.4096385542168677,0.44
HOSPITAL,2.989607286068133,0.0,0.0
OFTALMOLOGIA,2.0008230943758787,1.6867469879518073,0.84
CLINICA MEDICA,1.8671085061755028,2.4096385542168677,1.29
ANALISES CLINICAS DIVERSAS,1.714881944093839,0.0,0.0
PATOLOGIA CLINICA / MEDICINA LABORATORIAL,1.3198578402799133,5.542168674698795,4.2
MEDICO PEDIATRA,1.0389654101473156,0.0,0.0
