,0
costo_total,0.042846885601307984
costo_total_pos,0.035786180395998256
costo_mediano,0.019861134119375668
costo_max,0.018966959932007567
n_exame,0.01856926007822015
n_consulta,0.009839958513097869
n_utilizaciones,0.008953112958174603
costo_promedio,0.00826613019396576
n_especialidades,0.007119667384524542
n_proc_distintos,0.006238169750574474
edad,0.005934481665814451
n_outros,0.0046728224778340936
n_unidades,0.0017805245644235469
n_internacao,0.0016036200203113581
tipo_benef_TITULAR,0.0014080337657287779
n_estados,0.0010208496892084584
tipo_benef_Desconocido,0.0005870198575328667
tipo_benef_DEPENDENTE,0.00036988886408002576
n_internado,0.0003124572346387522
n_uti,0.00026243526674791796
uso_uti,0.0001912106828773963
sexo_F,0.00018437722830049185
tipo_benef_AGREGADO,9.903557357815452e-06
n_valor_neg,0.0
tipo_benef_CONJUGE,0.0
tipo_benef_TUTELADO,0.0
tipo_benef_MAE,0.0
tipo_benef_FILHO,-4.501616983620948e-08
tipo_benef_OUTROS,-2.52090550922901e-07
n_pronto_socorro,-0.0026324285683416273
sexo_Desconocido,-0.002875416849732404
n_terapia,-0.007994358573599647
sexo_M,-0.008339092401990756
ventana_dias,-0.010059592405592066
n_procedimientos,-0.013013337390790825
