modelo,cv_roc_auc,cv_roc_auc_sd,cv_pr_auc,cv_pr_auc_sd,test_roc_auc,test_pr_auc,umbral,precision,recall_sensibilidad,especificidad,f1,balanced_acc,TN,FP,FN,TP
LogReg,0.7941557386059261,0.033359036335090915,0.0025335166918691214,0.0005861876734438281,0.8252509201305109,0.0018359100060039765,0.4515498651081583,0.0011292818603873018,0.7941176470588235,0.7075792824782662,0.0022553564716200976,0.7508484647685448,115576,47764,14,54
RandomForest,0.9085742310969455,0.028994583592205594,0.35676346962559224,0.0699526617234247,0.9272257794999963,0.27271007291482563,0.006653021804167645,0.0056848089272555,0.7941176470588235,0.9421758295579772,0.011288805268109126,0.8681467383084003,153895,9445,14,54
HistGB,0.9204293123519216,0.02439547797507439,0.08643841711077448,0.01690906194593824,0.9242653361087303,0.05226838401465042,0.16426881379406788,0.002470713525026624,0.8529411764705882,0.8566364638178033,0.004927154568236843,0.8547888201441958,139923,23417,10,58
