CID,numero_registros,beneficiarios_unicos,porcentaje_beneficiarios
E161,1,1,0.001
E21,137,1,0.001
E211,10,1,0.001
E24,10,1,0.001
E279,14,1,0.001
E28.2,23,1,0.001
L010,5,1,0.001
L299,7,1,0.001
L30.3,34,1,0.001
M00.9,123,1,0.001
M000,11,1,0.001
L739,8,1,0.001
L82,17,1,0.001
L89.,524,1,0.001
L90.9,137,1,0.001
L909,18,1,0.001
L91.0,8,1,0.001
L918,92,1,0.001
L919,4,1,0.001
L92.3,58,1,0.001
L508,6,1,0.001
L539,2,1,0.001
L589,12,1,0.001
L60,1,1,0.001
L602,17,1,0.001
E049,20,1,0.001
E05,18,1,0.001
E078,6,1,0.001
E10.3,132,1,0.001
E10.5,52,1,0.001
E10.8,399,1,0.001
L02.0,41,1,0.001
K86.1,123,1,0.001
K86.8,66,1,0.001
K86.9,10,1,0.001
K903,19,1,0.001
K910,87,1,0.001
K913,405,1,0.001
K914,80,1,0.001
M00,6,1,0.001
M00.,261,1,0.001
M138,31,1,0.001
M139,51,1,0.001
M16.5,123,1,0.001
L929,5,1,0.001
L98.,35,1,0.001
K828,9,1,0.001
K829,9,1,0.001
K83,87,1,0.001
K833,27,1,0.001
K85.,6,1,0.001
K81.8,157,1,0.001
E88.9,49,1,0.001
E880,32,1,0.001
L99,3,1,0.001
L99.,52,1,0.001
E14.8,35,1,0.001
E106,114,1,0.001
D69.6,268,1,0.001
D69.9,46,1,0.001
D72.8,26,1,0.001
D734,117,1,0.001
D750,16,1,0.001
D759,3,1,0.001
D76,3,1,0.001
D80,22,1,0.001
M174,57,1,0.001
M175,44,1,0.001
M180,6,1,0.001
M068,104,1,0.001
M069,34,1,0.001
M109,3,1,0.001
M130,76,1,0.001
M164,10,1,0.001
M166,10,1,0.001
M17.,47,1,0.001
E889,24,1,0.001
E66.2,61,1,0.001
E672,39,1,0.001
E750,109,1,0.001
E754,8,1,0.001
E78.2,1,1,0.001
K759,1,1,0.001
K76.,91,1,0.001
K760,14,1,0.001
K764,2,1,0.001
K768,233,1,0.001
K769,100,1,0.001
E102,7,1,0.001
M24.5,68,1,0.001
M244,9,1,0.001
M21.1,81,1,0.001
M210,13,1,0.001
M215,45,1,0.001
M219,45,1,0.001
M221,12,1,0.001
M23.8,5,1,0.001
M189,7,1,0.001
M192,12,1,0.001
M198,38,1,0.001
M20,9,1,0.001
M20.6,65,1,0.001
M204,8,1,0.001
M206,43,1,0.001
M163,1,1,0.001
D598,94,1,0.001
D613,42,1,0.001
D618,22,1,0.001
D63.0,9,1,0.001
K80.0,60,1,0.001
F05.0,7,1,0.001
F05.1,278,1,0.001
F050,23,1,0.001
F051,43,1,0.001
E87.6,15,1,0.001
E874,10,1,0.001
E88,83,1,0.001
E88.1,106,1,0.001
E88.2,29,1,0.001
D63.8,52,1,0.001
D638,156,1,0.001
M249,43,1,0.001
M25.,3,1,0.001
M253,1,1,0.001
M256,80,1,0.001
M303,154,1,0.001
M318,53,1,0.001
M32.1,21,1,0.001
M321,10,1,0.001
M236,35,1,0.001
D80.,8,1,0.001
D801,35,1,0.001
D805,66,1,0.001
D809,70,1,0.001
D86.9,367,1,0.001
D571,69,1,0.001
D591,9,1,0.001
M415,85,1,0.001
M429,41,1,0.001
M43.1,170,1,0.001
K80.3,917,1,0.001
K710,93,1,0.001
K72.,63,1,0.001
K72.0,67,1,0.001
K72.9,187,1,0.001
K720,116,1,0.001
K739,213,1,0.001
K74.,8,1,0.001
K74.6,2012,1,0.001
K740,43,1,0.001
K745,206,1,0.001
M46.2,212,1,0.001
M248,1,1,0.001
D48.7,97,1,0.001
D48.9,13,1,0.001
D483,6,1,0.001
D485,5,1,0.001
D487,48,1,0.001
D50,20,1,0.001
D50.,25,1,0.001
M502,41,1,0.001
M509,18,1,0.001
M51.0,71,1,0.001
M329,195,1,0.001
M340,199,1,0.001
M35,152,1,0.001
M35.0,1223,1,0.001
M352,4,1,0.001
M41,2,1,0.001
M47,19,1,0.001
M47.8,29,1,0.001
M472,36,1,0.001
M481,58,1,0.001
M493,27,1,0.001
K75.4,47,1,0.001
K752,138,1,0.001
K629,11,1,0.001
K63.8,55,1,0.001
K632,37,1,0.001
K659,139,1,0.001
K669,5,1,0.001
K700,10,1,0.001
K71,85,1,0.001
K600,1,1,0.001
D688,9,1,0.001
K59.3,285,1,0.001
D57,27,1,0.001
D44.1,82,1,0.001
D44.3,42,1,0.001
D46.9,1264,1,0.001
D467,22,1,0.001
D472,1,1,0.001
M60.2,482,1,0.001
M60.9,1,1,0.001
M518,7,1,0.001
M53.2,107,1,0.001
M530,1,1,0.001
M532,258,1,0.001
M54.3,3,1,0.001
M461,11,1,0.001
M464,63,1,0.001
M622,90,1,0.001
M65.,23,1,0.001
M65.2,35,1,0.001
M546,5,1,0.001
K61.,239,1,0.001
K61.0,134,1,0.001
K61.1,50,1,0.001
K61.2,55,1,0.001
K613,17,1,0.001
K62.3,61,1,0.001
K62.5,38,1,0.001
K622,38,1,0.001
K58.0,280,1,0.001
K589,40,1,0.001
K59.,22,1,0.001
K59.1,59,1,0.001
D39.7,3,1,0.001
M70.6,5,1,0.001
M701,70,1,0.001
F104,196,1,0.001
F118,15,1,0.001
F12.,8,1,0.001
F00.0,11,1,0.001
F001,220,1,0.001
F02,90,1,0.001
F023,14,1,0.001
K60.,43,1,0.001
M702,60,1,0.001
M704,9,1,0.001
M61.,35,1,0.001
M62.9,29,1,0.001
M621,1,1,0.001
M70,81,1,0.001
K60.0,40,1,0.001
K567,45,1,0.001
K57.1,38,1,0.001
K57.2,56,1,0.001
K52.1,38,1,0.001
K55.,293,1,0.001
K55.0,46,1,0.001
D473,2,1,0.001
D369,25,1,0.001
D37.4,228,1,0.001
D37.6,72,1,0.001
D370,9,1,0.001
D381,33,1,0.001
D39.,10,1,0.001
D39.0,98,1,0.001
F190,6,1,0.001
F195,6,1,0.001
F058,7,1,0.001
F062,120,1,0.001
F067,16,1,0.001
F072,1,1,0.001
K56.5,706,1,0.001
K461,48,1,0.001
M712,12,1,0.001
M72.2,4,1,0.001
M728,6,1,0.001
M75.0,2,1,0.001
M75.5,115,1,0.001
M650,59,1,0.001
M652,54,1,0.001
M665,46,1,0.001
D291,71,1,0.001
D300,96,1,0.001
D32.,3126,1,0.001
D33.1,381,1,0.001
D33.4,229,1,0.001
D331,39,1,0.001
D334,53,1,0.001
M799,1,1,0.001
M753,1,1,0.001
M758,63,1,0.001
M76.6,2,1,0.001
M76.8,8,1,0.001
M762,22,1,0.001
M77.,34,1,0.001
M77.0,10,1,0.001
M77.3,5,1,0.001
M79.3,7,1,0.001
K50,3,1,0.001
K508,44,1,0.001
K51.0,174,1,0.001
K51.8,239,1,0.001
K52.0,488,1,0.001
K43.,79,1,0.001
K43.0,4,1,0.001
K43.1,2,1,0.001
K431,69,1,0.001
D410,6,1,0.001
D43.2,87,1,0.001
D434,40,1,0.001
D44.0,67,1,0.001
D282,6,1,0.001
D287,8,1,0.001
M890,31,1,0.001
M893,130,1,0.001
M895,82,1,0.001
M918,292,1,0.001
M939,132,1,0.001
M94,73,1,0.001
M95.4,175,1,0.001
M801,24,1,0.001
M84.1,103,1,0.001
M84.4,193,1,0.001
M840,77,1,0.001
M842,20,1,0.001
M86.3,26,1,0.001
M86.4,81,1,0.001
M86.6,113,1,0.001
M79.2,3,1,0.001
N029,6,1,0.001
N04,4,1,0.001
N04.,55,1,0.001
M864,12,1,0.001
K449,10,1,0.001
K450,98,1,0.001
K458,82,1,0.001
K46.,113,1,0.001
K41.4,535,1,0.001
F25,138,1,0.001
F25.9,90,1,0.001
F122,8,1,0.001
F13.2,16,1,0.001
M87.9,88,1,0.001
M870,10,1,0.001
M879,8,1,0.001
D36.9,37,1,0.001
D360,90,1,0.001
D361,180,1,0.001
D23.2,61,1,0.001
D25.2,63,1,0.001
N132,4,1,0.001
N133,8,1,0.001
N137,3,1,0.001
N139,15,1,0.001
N15.1,850,1,0.001
M99.3,36,1,0.001
N009,11,1,0.001
N013,24,1,0.001
N02.,22,1,0.001
N02.9,37,1,0.001
N020,6,1,0.001
D21.0,65,1,0.001
D216,18,1,0.001
N11,3,1,0.001
N12,11,1,0.001
N13.0,161,1,0.001
F143,44,1,0.001
F162,5,1,0.001
K317,37,1,0.001
K319,22,1,0.001
K35.0,49,1,0.001
K36,82,1,0.001
F315,46,1,0.001
F20.9,26,1,0.001
N13.1,6,1,0.001
N13.3,166,1,0.001
N130,42,1,0.001
N170,70,1,0.001
D269,69,1,0.001
F201,120,1,0.001
F202,18,1,0.001
F205,48,1,0.001
F21,3,1,0.001
F233,76,1,0.001
F239,90,1,0.001
K389,148,1,0.001
K29.9,52,1,0.001
K290,8,1,0.001
K299,35,1,0.001
D28.0,31,1,0.001
D18,55,1,0.001
D18.0,336,1,0.001
D21,41,1,0.001
D22.9,7,1,0.001
D225,6,1,0.001
D128,39,1,0.001
D137,41,1,0.001
D143,1915,1,0.001
D152,1,1,0.001
D16.5,98,1,0.001
D162,7,1,0.001
D166,4,1,0.001
N258,106,1,0.001
N289,168,1,0.001
N29.8,75,1,0.001
N151,32,1,0.001
N158,125,1,0.001
N159,5,1,0.001
N17.8,23,1,0.001
N21.8,48,1,0.001
N218,35,1,0.001
F33.1,90,1,0.001
F331,3,1,0.001
F258,84,1,0.001
F31.5,15,1,0.001
F31.8,69,1,0.001
F311,16,1,0.001
K31.5,35,1,0.001
K31.8,96,1,0.001
K314,289,1,0.001
K22.1,58,1,0.001
K220,36,1,0.001
K223,374,1,0.001
N22.8,12,1,0.001
D22,23,1,0.001
N433,5,1,0.001
N35.0,58,1,0.001
N358,5,1,0.001
N361,3,1,0.001
N39.4,92,1,0.001
N30.4,198,1,0.001
N30.8,469,1,0.001
N304,73,1,0.001
N31.,29,1,0.001
N310,37,1,0.001
N312,2,1,0.001
N32,1,1,0.001
N321,431,1,0.001
N322,29,1,0.001
N35.,69,1,0.001
N21.0,66,1,0.001
D11.0,85,1,0.001
K228,3,1,0.001
K25.,29,1,0.001
K25.0,356,1,0.001
K257,10,1,0.001
K259,7,1,0.001
K26.0,166,1,0.001
K267,55,1,0.001
K271,6,1,0.001
K109,6,1,0.001
K11.7,49,1,0.001
K11.8,286,1,0.001
K116,15,1,0.001
K12.1,42,1,0.001
N43.3,44,1,0.001
N432,74,1,0.001
N48.,37,1,0.001
N48.8,36,1,0.001
N48.9,37,1,0.001
N480,42,1,0.001
N41.0,43,1,0.001
N42,63,1,0.001
N42.8,88,1,0.001
N421,15,1,0.001
D168,88,1,0.001
D051,136,1,0.001
D059,73,1,0.001
D06.1,35,1,0.001
D06.7,42,1,0.001
D06.9,38,1,0.001
D069,5,1,0.001
D10,7,1,0.001
N49,4,1,0.001
N49.2,64,1,0.001
N498,1,1,0.001
N499,151,1,0.001
N50,43,1,0.001
N50.,43,1,0.001
N501,35,1,0.001
N508,51,1,0.001
N509,43,1,0.001
N51,40,1,0.001
N44,41,1,0.001
N45.,4,1,0.001
N45.0,26,1,0.001
N45.9,1337,1,0.001
N450,7,1,0.001
N48,77,1,0.001
N62.,56,1,0.001
N709,14,1,0.001
N71.,2,1,0.001
N481,54,1,0.001
N482,60,1,0.001
N483,4,1,0.001
K20.,45,1,0.001
F413,2,1,0.001
F419,60,1,0.001
F43,17,1,0.001
F32.0,32,1,0.001
F328,8,1,0.001
K21.,52,1,0.001
K075,106,1,0.001
K078,13,1,0.001
K08,122,1,0.001
K04,180,1,0.001
N76.5,34,1,0.001
D117,101,1,0.001
D12.2,126,1,0.001
D120,44,1,0.001
D124,41,1,0.001
C92.4,286,1,0.001
C94.2,55,1,0.001
C969,134,1,0.001
D033,33,1,0.001
D039,15,1,0.001
N761,16,1,0.001
N771,9,1,0.001
N511,46,1,0.001
N60.9,33,1,0.001
N61,112,1,0.001
N72.,2,1,0.001
N73.,5,1,0.001
N733,27,1,0.001
N739,18,1,0.001
N75.1,34,1,0.001
K08.9,9,1,0.001
K081,55,1,0.001
K088,11,1,0.001
K090,83,1,0.001
K099,12,1,0.001
K10.2,91,1,0.001
J984,3,1,0.001
K001,55,1,0.001
K008,16,1,0.001
K01.0,52,1,0.001
K039,1,1,0.001
J940,54,1,0.001
J942,127,1,0.001
J950,47,1,0.001
J958,1,1,0.001
N81.4,93,1,0.001
N81.6,35,1,0.001
N816,13,1,0.001
N818,121,1,0.001
N82.,344,1,0.001
N83,5,1,0.001
N83.0,64,1,0.001
N83.1,83,1,0.001
N81.,58,1,0.001
N81.1,56,1,0.001
N81.2,98,1,0.001
N719,23,1,0.001
C85.,138,1,0.001
C85.1,260,1,0.001
C850,5,1,0.001
C857,362,1,0.001
C859,21,1,0.001
N85.,34,1,0.001
K04.8,78,1,0.001
K044,51,1,0.001
K047,9,1,0.001
K05.5,13,1,0.001
K052,65,1,0.001
K06,208,1,0.001
K062,4,1,0.001
J931,83,1,0.001
J938,2,1,0.001
J94.9,37,1,0.001
N89.3,34,1,0.001
N90,2,1,0.001
N90.6,30,1,0.001
N839,6,1,0.001
J96,76,1,0.001
F628,154,1,0.001
F63,16,1,0.001
F339,198,1,0.001
F41.0,4,1,0.001
F41.8,144,1,0.001
J96.9,30,1,0.001
N849,13,1,0.001
D04.1,42,1,0.001
D04.3,45,1,0.001
D042,79,1,0.001
D05.7,32,1,0.001
N93.8,1,1,0.001
N930,40,1,0.001
J969,1,1,0.001
J980,5,1,0.001
J69.8,211,1,0.001
J80.,13,1,0.001
J85.2,137,1,0.001
J852,277,1,0.001
J86.9,241,1,0.001
J93,21,1,0.001
J93.0,1630,1,0.001
J930,16,1,0.001
J45.0,55,1,0.001
J45.1,17,1,0.001
N87.,3,1,0.001
N87.2,43,1,0.001
F80.0,26,1,0.001
F438,2,1,0.001
F44.,52,1,0.001
F48,18,1,0.001
F50.,15,1,0.001
F508,3,1,0.001
F52.,75,1,0.001
F52.2,83,1,0.001
F60,11,1,0.001
J47,2,1,0.001
O00.,45,1,0.001
N90.8,23,1,0.001
N907,42,1,0.001
N92,61,1,0.001
N920,1,1,0.001
N925,7,1,0.001
J680,1,1,0.001
J36.,37,1,0.001
J38,3,1,0.001
J38.4,312,1,0.001
J382,5,1,0.001
J390,13,1,0.001
J42,2,1,0.001
J432,507,1,0.001
N99.3,33,1,0.001
C82,46,1,0.001
C83.,270,1,0.001
C83.3,37,1,0.001
N994,97,1,0.001
N999,47,1,0.001
F721,41,1,0.001
F79,18,1,0.001
O06.,7,1,0.001
O06.4,5,1,0.001
O104,20,1,0.001
O11,16,1,0.001
O120,1,1,0.001
O13.,15,1,0.001
O14,11,1,0.001
O008,66,1,0.001
O01,12,1,0.001
O038,58,1,0.001
O049,26,1,0.001
O05.1,46,1,0.001
N94,1,1,0.001
N95.9,2,1,0.001
N96,7,1,0.001
N97,4,1,0.001
O208,1,1,0.001
O209,31,1,0.001
O21,17,1,0.001
J35.,40,1,0.001
F63.,1,1,0.001
F63.8,15,1,0.001
F64.0,91,1,0.001
F701,60,1,0.001
F709,72,1,0.001
F71.,10,1,0.001
F71.1,25,1,0.001
F711,62,1,0.001
J32.2,65,1,0.001
O21.1,5,1,0.001
O054,99,1,0.001
O06,91,1,0.001
O26,1,1,0.001
C836,79,1,0.001
C844,8,1,0.001
C76.7,629,1,0.001
C77.9,104,1,0.001
C774,107,1,0.001
C775,110,1,0.001
C778,96,1,0.001
C78.,150,1,0.001
C78.0,225,1,0.001
C78.2,292,1,0.001
O284,3,1,0.001
O294,71,1,0.001
O30.0,44,1,0.001
O15.,360,1,0.001
O20.8,3,1,0.001
O22.5,6,1,0.001
O239,36,1,0.001
O24,35,1,0.001
O24.,7,1,0.001
O24.4,87,1,0.001
O241,199,1,0.001
J321,4,1,0.001
G009,17,1,0.001
G01.,17,1,0.001
G04.9,20,1,0.001
F802,7,1,0.001
F808,10,1,0.001
F81.,27,1,0.001
F83,16,1,0.001
J34.,63,1,0.001
O249,3,1,0.001
O418,13,1,0.001
O42.0,66,1,0.001
O45,222,1,0.001
O45.,5,1,0.001
J210,32,1,0.001
J30.,1,1,0.001
J31.1,72,1,0.001
J310,122,1,0.001
J168,189,1,0.001
J173,17,1,0.001
J188,129,1,0.001
O33.4,11,1,0.001
O33.8,8,1,0.001
O338,83,1,0.001
O34.2,10,1,0.001
O340,72,1,0.001
O62.3,7,1,0.001
O623,3,1,0.001
G138,296,1,0.001
G23,28,1,0.001
F843,12,1,0.001
F845,1,1,0.001
F89,9,1,0.001
F91.,2,1,0.001
F913,10,1,0.001
G00.9,220,1,0.001
J20.8,71,1,0.001
O639,123,1,0.001
O36.0,2,1,0.001
O36.5,85,1,0.001
O360,1,1,0.001
O366,75,1,0.001
C791,5,1,0.001
C798,149,1,0.001
C69,10,1,0.001
C71.2,686,1,0.001
C71.8,792,1,0.001
C71.9,110,1,0.001
C718,37,1,0.001
C729,28,1,0.001
O47.9,1,1,0.001
O479,2,1,0.001
O48.,41,1,0.001
O60.2,12,1,0.001
O601,4,1,0.001
O602,6,1,0.001
O618,44,1,0.001
O62.0,4,1,0.001
C66,44,1,0.001
C67.0,17,1,0.001
O83.1,8,1,0.001
O839,11,1,0.001
O84.,8,1,0.001
O842,2,1,0.001
O849,12,1,0.001
O66.0,10,1,0.001
O669,12,1,0.001
O68.1,19,1,0.001
O688,13,1,0.001
O689,9,1,0.001
O70.0,35,1,0.001
O731,8,1,0.001
O750,9,1,0.001
C787,201,1,0.001
G40.0,298,1,0.001
O91.2,41,1,0.001
O998,29,1,0.001
P011,471,1,0.001
P027,18,1,0.001
P05.0,84,1,0.001
P070,26,1,0.001
P071,135,1,0.001
P128,22,1,0.001
O812,8,1,0.001
C74,4,1,0.001
C749,4,1,0.001
C76.2,39,1,0.001
C76.3,1073,1,0.001
C629,29,1,0.001
C639,7,1,0.001
P358,20,1,0.001
P39.0,13,1,0.001
P390,3,1,0.001
P399,922,1,0.001
O862,1,1,0.001
O902,35,1,0.001
J12.8,232,1,0.001
J129,71,1,0.001
J156,26,1,0.001
J157,202,1,0.001
J04,1,1,0.001
J06.,27,1,0.001
J10.,17,1,0.001
J10.0,32,1,0.001
G35.,203,1,0.001
G36.8,947,1,0.001
P711,14,1,0.001
P81,4,1,0.001
G09,4,1,0.001
G12.0,31,1,0.001
G12.2,1,1,0.001
G12.9,21,1,0.001
G121,60,1,0.001
J100,27,1,0.001
J11.,126,1,0.001
I959,19,1,0.001
I982,15,1,0.001
P210,14,1,0.001
P211,108,1,0.001
P220,14,1,0.001
P271,406,1,0.001
P284,123,1,0.001
Q173,72,1,0.001
C674,5,1,0.001
C678,17,1,0.001
C538,13,1,0.001
C539,26,1,0.001
C54.1,43,1,0.001
C540,77,1,0.001
C55.,430,1,0.001
Q189,64,1,0.001
Q21,313,1,0.001
Q21.1,101,1,0.001
Q21.3,66,1,0.001
P540,8,1,0.001
P558,14,1,0.001
P588,2,1,0.001
P612,13,1,0.001
G30.0,4,1,0.001
G30.9,7,1,0.001
G319,70,1,0.001
J020,1,1,0.001
J030,1,1,0.001
Q283,15,1,0.001
Q289,81,1,0.001
Q30.8,72,1,0.001
Q318,35,1,0.001
Q320,89,1,0.001
Q37,6,1,0.001
P919,73,1,0.001
P94,6,1,0.001
P95,28,1,0.001
Q00,30,1,0.001
Q043,51,1,0.001
Q22.1,66,1,0.001
Q234,290,1,0.001
Q24,4,1,0.001
Q240,123,1,0.001
Q250,113,1,0.001
Q26.4,290,1,0.001
J010,16,1,0.001
J014,229,1,0.001
G43.,13,1,0.001
G43.0,55,1,0.001
G43.1,136,1,0.001
G243,9,1,0.001
G248,63,1,0.001
G25.3,246,1,0.001
G252,4,1,0.001
G30.,1,1,0.001
Q610,9,1,0.001
Q622,71,1,0.001
Q64.3,30,1,0.001
Q643,45,1,0.001
Q66.,41,1,0.001
Q667,50,1,0.001
Q386,10,1,0.001
Q39,83,1,0.001
Q399,173,1,0.001
Q40,33,1,0.001
Q400,11,1,0.001
Q43.0,63,1,0.001
Q43.2,91,1,0.001
Q501,27,1,0.001
Q530,8,1,0.001
Q532,39,1,0.001
Q674,65,1,0.001
Q676,6,1,0.001
Q709,10,1,0.001
Q750,22,1,0.001
Q76,36,1,0.001
Q78.6,72,1,0.001
Q782,24,1,0.001
Q85.1,53,1,0.001
Q850,3,1,0.001
Q851,40,1,0.001
Q873,7,1,0.001
Q543,67,1,0.001
Q548,48,1,0.001
Q55,550,1,0.001
Q550,55,1,0.001
Q61.,4,1,0.001
C60,1,1,0.001
C609,5,1,0.001
C620,55,1,0.001
C50.1,95,1,0.001
C50.2,74,1,0.001
C501,8,1,0.001
C503,15,1,0.001
C504,1,1,0.001
C505,90,1,0.001
R008,12,1,0.001
R02,47,1,0.001
R03,43,1,0.001
R03.0,1,1,0.001
R04,36,1,0.001
Q668,6,1,0.001
Q670,2,1,0.001
Q93,3,1,0.001
Q935,24,1,0.001
R00.0,139,1,0.001
R002,23,1,0.001
I85,66,1,0.001
I87.2,11,1,0.001
I871,1,1,0.001
I880,6,1,0.001
I890,10,1,0.001
I95.0,77,1,0.001
I95.8,38,1,0.001
I950,29,1,0.001
I832,93,1,0.001
I84.,39,1,0.001
I84.0,49,1,0.001
I84.8,7,1,0.001
C446,3,1,0.001
C447,4,1,0.001
C48,1,1,0.001
G400,140,1,0.001
G402,16,1,0.001
G41.9,258,1,0.001
G419,4,1,0.001
I82.3,24,1,0.001
I82.8,37,1,0.001
R04.2,10,1,0.001
R048,149,1,0.001
R06.,32,1,0.001
R06.8,21,1,0.001
R07.0,37,1,0.001
Q900,6,1,0.001
Q909,9,1,0.001
C437,60,1,0.001
C44.0,36,1,0.001
R19.5,39,1,0.001
R07.2,173,1,0.001
I822,24,1,0.001
I83.,3,1,0.001
I831,50,1,0.001
I77.0,57,1,0.001
I771,89,1,0.001
I779,151,1,0.001
I80.8,69,1,0.001
C518,51,1,0.001
C52.,52,1,0.001
C441,21,1,0.001
C442,27,1,0.001
C444,60,1,0.001
C492,113,1,0.001
I800,2,1,0.001
G51,59,1,0.001
G510,9,1,0.001
G519,5,1,0.001
G438,163,1,0.001
G439,1,1,0.001
G44.1,97,1,0.001
G44.8,129,1,0.001
G448,72,1,0.001
C50.,71,1,0.001
C402,172,1,0.001
C41.3,582,1,0.001
C41.8,125,1,0.001
C43.8,69,1,0.001
C435,9,1,0.001
C32.1,80,1,0.001
C320,5,1,0.001
C34.0,35,1,0.001
C34.3,261,1,0.001
C34.9,2594,1,0.001
R40.,25,1,0.001
R400,2,1,0.001
R198,42,1,0.001
R20.2,23,1,0.001
R22.7,38,1,0.001
R222,13,1,0.001
R23.2,85,1,0.001
R233,1,1,0.001
R14,21,1,0.001
C49.1,44,1,0.001
C49.5,186,1,0.001
I809,33,1,0.001
I81,553,1,0.001
I71.6,84,1,0.001
I710,64,1,0.001
I719,132,1,0.001
I72.1,69,1,0.001
I721,20,1,0.001
I729,67,1,0.001
I738,7,1,0.001
I74.3,16,1,0.001
I742,15,1,0.001
I748,52,1,0.001
C44.4,59,1,0.001
C269,1,1,0.001
C30,1,1,0.001
C32,7,1,0.001
C384,24,1,0.001
C227,59,1,0.001
C23.,917,1,0.001
C249,23,1,0.001
C25.,15,1,0.001
C25.7,486,1,0.001
R41.0,7,1,0.001
R41.1,35,1,0.001
R418,35,1,0.001
R47.0,68,1,0.001
R47.8,24,1,0.001
R470,9,1,0.001
R471,76,1,0.001
R270,11,1,0.001
R39.1,16,1,0.001
C44.2,46,1,0.001
C21,1,1,0.001
R58,59,1,0.001
R52.2,35,1,0.001
C348,4,1,0.001
C38,9,1,0.001
C383,49,1,0.001
I77,76,1,0.001
I670,9,1,0.001
I674,72,1,0.001
I69.4,140,1,0.001
I693,20,1,0.001
I698,34,1,0.001
I700,1,1,0.001
I709,73,1,0.001
I71,53,1,0.001
I71.0,188,1,0.001
C257,13,1,0.001
I636,33,1,0.001
I650,74,1,0.001
I659,1,1,0.001
I67,6,1,0.001
I67.,34,1,0.001
I67.4,180,1,0.001
I67.6,222,1,0.001
I67.8,418,1,0.001
I519,17,1,0.001
I60.9,1286,1,0.001
I600,39,1,0.001
C260,125,1,0.001
C181,77,1,0.001
C182,24,1,0.001
C184,390,1,0.001
S00.7,27,1,0.001
S00.8,8,1,0.001
S003,90,1,0.001
S007,17,1,0.001
S008,18,1,0.001
S01,1,1,0.001
S01.8,25,1,0.001
R60.9,16,1,0.001
R63.0,24,1,0.001
R633,96,1,0.001
R64.,76,1,0.001
R56.,58,1,0.001
R56.0,37,1,0.001
R57,51,1,0.001
R57.,378,1,0.001
C252,37,1,0.001
I629,24,1,0.001
S066,18,1,0.001
S067,2988,1,0.001
S010,2,1,0.001
S017,7,1,0.001
S018,1,1,0.001
S019,3,1,0.001
S02,2,1,0.001
S02.4,187,1,0.001
S020,5,1,0.001
S025,5,1,0.001
S026,16,1,0.001
S029,111,1,0.001
R899,5,1,0.001
R93.2,96,1,0.001
S00.,16,1,0.001
C161,325,1,0.001
C162,141,1,0.001
C163,85,1,0.001
C168,142,1,0.001
I61.,65,1,0.001
I61.6,1929,1,0.001
I611,29,1,0.001
G562,5,1,0.001
G568,4,1,0.001
G57.5,46,1,0.001
G46,37,1,0.001
G47,2,1,0.001
G47.0,5,1,0.001
G470,6,1,0.001
G479,3,1,0.001
G50,14,1,0.001
S09.8,105,1,0.001
S097,70,1,0.001
S11.9,16,1,0.001
S121,98,1,0.001
S122,9,1,0.001
S143,1,1,0.001
S208,8,1,0.001
S21.9,32,1,0.001
S219,118,1,0.001
S06.4,239,1,0.001
S06.6,549,1,0.001
S06.8,97,1,0.001
S063,44,1,0.001
S064,7,1,0.001
C211,16,1,0.001
C22.7,50,1,0.001
S290,2,1,0.001
S299,8,1,0.001
S30,1,1,0.001
S30.0,61,1,0.001
S09.0,7,1,0.001
I63.4,215,1,0.001
I63.8,382,1,0.001
I49,7,1,0.001
I49.3,113,1,0.001
I49.8,24,1,0.001
I490,72,1,0.001
I493,103,1,0.001
I428,95,1,0.001
I43.,87,1,0.001
I44.3,290,1,0.001
I456,9,1,0.001
S301,22,1,0.001
S313,8,1,0.001
S32,15,1,0.001
S322,18,1,0.001
S325,25,1,0.001
S34.0,1430,1,0.001
S341,33,1,0.001
S36.1,257,1,0.001
S363,19,1,0.001
S22.3,240,1,0.001
S22.4,24,1,0.001
S222,43,1,0.001
S229,157,1,0.001
S27.0,147,1,0.001
S27.1,176,1,0.001
S270,35,1,0.001
S428,27,1,0.001
S43,41,1,0.001
S43.1,114,1,0.001
I46.0,218,1,0.001
I46.9,345,1,0.001
G628,8,1,0.001
G632,21,1,0.001
G64,28,1,0.001
G70,18,1,0.001
G70.0,236,1,0.001
G53.0,49,1,0.001
G538,7,1,0.001
G540,16,1,0.001
G55.1,69,1,0.001
G551,523,1,0.001
I470,11,1,0.001
C041,1,1,0.001
C058,19,1,0.001
C06,4,1,0.001
C069,194,1,0.001
C07,15,1,0.001
C109,5,1,0.001
C11,61,1,0.001
C15,16,1,0.001
C15.1,146,1,0.001
C15.2,36,1,0.001
S52.,41,1,0.001
S52.1,53,1,0.001
S52.4,108,1,0.001
S364,42,1,0.001
S409,40,1,0.001
S42.9,61,1,0.001
S522,11,1,0.001
S56.1,40,1,0.001
S563,9,1,0.001
S599,1,1,0.001
S60,34,1,0.001
S463,67,1,0.001
S47,65,1,0.001
S50.0,3,1,0.001
S500,2,1,0.001
S509,1,1,0.001
S52,13,1,0.001
C18.4,85,1,0.001
C18.6,580,1,0.001
C18.7,318,1,0.001
C18.8,227,1,0.001
C040,35,1,0.001
I421,91,1,0.001
C159,71,1,0.001
C16.3,276,1,0.001
B87,56,1,0.001
B870,4,1,0.001
B873,37,1,0.001
B91,39,1,0.001
B941,5,1,0.001
B958,186,1,0.001
B97,1,1,0.001
B97.2,164,1,0.001
